statename,distname,YEAR,RAPE,CUSTODIAL RAPE,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE
Haryana,Ambala,2005,19,0,48,66,8,9,19,130,2
Haryana,Bhiwani,2005,18,0,30,52,6,19,20,87,5
Haryana,Faridabad,2005,39,0,126,43,8,18,42,188,23
Haryana,Fatehabad,2005,9,0,11,116,4,5,17,66,4
Haryana,Grp,2005,2,0,4,5,0,7,2,0,17
Haryana,Gurgaon,2005,17,0,45,124,5,10,20,71,15
Haryana,Hissar,2005,25,0,15,148,10,19,31,139,0
Haryana,Jhajjar,2005,13,0,28,37,5,11,16,86,127
Haryana,Jind,2005,14,0,27,20,7,17,2,35,2
Haryana,Kaithal,2005,19,0,48,21,2,6,9,115,3
Haryana,Karnal,2005,50,0,12,128,4,14,39,236,235
Haryana,Kurukshetra,2005,24,0,4,39,6,5,24,99,0
Haryana,Mahendragarh,2005,15,0,23,6,5,6,13,20,3
Haryana,Mewat,2005,34,0,10,33,8,7,12,112,1
Haryana,Panchkula,2005,8,0,7,73,0,2,7,65,90
Haryana,Panipat,2005,56,0,37,13,4,11,11,127,182
Haryana,Rewari,2005,13,0,33,20,11,9,21,50,3
Haryana,Rohtak,2005,29,0,15,81,9,9,17,79,158
Haryana,Sirsa,2005,15,0,9,50,6,10,17,119,3
Haryana,Sonipat,2005,28,0,20,74,6,14,21,124,210
Haryana,Yamunanagar,2005,14,0,10,55,5,4,20,127,0
Haryana,Total,2005,461,0,562,1204,119,212,380,2075,1083
Himachal Pradesh,Bilaspur,2005,8,0,8,22,20,0,30,27,44
Himachal Pradesh,Chamba,2005,12,0,1,1,11,1,20,10,31
Himachal Pradesh,G.R.P.,2005,0,0,0,0,0,0,0,0,0
Himachal Pradesh,Hamirpur,2005,4,0,11,20,10,0,11,21,35
Himachal Pradesh,Kangra,2005,23,0,3,31,15,0,27,48,1
Himachal Pradesh,Kinnaur,2005,4,0,0,0,0,0,6,6,14
Himachal Pradesh,Kullu,2005,19,0,2,4,2,0,23,12,43
Himachal Pradesh,Lahaul-Spiti,2005,0,0,1,0,0,0,0,1,9
Himachal Pradesh,Mandi,2005,8,0,5,16,16,0,70,20,62
Himachal Pradesh,Shimla,2005,32,0,32,36,8,0,51,29,78
Himachal Pradesh,Sirmaur,2005,11,0,2,11,4,0,20,21,50
Himachal Pradesh,Solan,2005,15,0,11,9,5,1,22,19,71
Himachal Pradesh,Una,2005,5,0,6,13,6,0,6,14,42
Himachal Pradesh,Total,2005,141,0,82,163,97,2,286,228,480
Jammu & Kashmir,Anantnag,2005,9,0,12,19,29,0,63,1,23
Jammu & Kashmir,Awantipora,2005,7,0,0,9,0,0,25,0,0
Jammu & Kashmir,Baramulla,2005,16,0,10,13,24,0,166,0,0
Jammu & Kashmir,Border,2005,5,0,2,3,2,0,7,0,33
Jammu & Kashmir,Budgam,2005,6,0,3,9,13,0,75,0,22
Jammu & Kashmir,Crime Jammu,2005,0,0,0,43,0,0,0,0,0
Jammu & Kashmir,Crime Srinagar,2005,0,0,7,85,0,0,0,0,0
Jammu & Kashmir,Doda,2005,7,0,6,3,15,0,6,1,27
Jammu & Kashmir,Ganderbal,2005,5,0,4,7,16,0,42,0,11
Jammu & Kashmir,Handwara,2005,10,0,0,11,5,0,44,1,1
Jammu & Kashmir,Jammu,2005,20,0,17,64,9,4,22,28,149
Jammu & Kashmir,Kargil,2005,1,0,3,3,1,0,3,0,9
Jammu & Kashmir,Kathua,2005,12,0,6,2,6,0,7,4,68
Jammu & Kashmir,Kulgam,2005,12,0,1,8,9,0,22,1,12
Jammu & Kashmir,Kupwara,2005,11,0,8,7,16,0,40,0,0
Jammu & Kashmir,Leh,2005,5,0,1,3,0,0,4,0,0
Jammu & Kashmir,Poonch,2005,7,0,5,8,10,0,11,7,10
Jammu & Kashmir,Pulwama,2005,7,0,3,10,10,0,40,0,13
Jammu & Kashmir,Railways,2005,0,0,0,0,1,0,0,0,1
Jammu & Kashmir,Rajouri,2005,21,0,3,13,29,0,15,14,36
Jammu & Kashmir,Ramban,2005,6,0,1,9,9,0,4,4,1
Jammu & Kashmir,Reasi,2005,1,0,1,1,6,0,2,1,0
Jammu & Kashmir,Srinagar,2005,18,0,15,63,29,0,219,11,44
Jammu & Kashmir,Udhampur,2005,15,0,9,10,1,1,13,3,2
Jammu & Kashmir,Total,2005,201,0,117,403,240,5,830,76,462
Jharkhand,Bokaro,2005,36,0,0,55,25,19,0,47,15
Jharkhand,Chaibasa,2005,53,0,11,11,5,0,2,11,8
Jharkhand,Chatra,2005,11,0,0,2,1,14,1,3,10
Jharkhand,Deoghar,2005,46,0,14,29,7,3,15,19,11
Jharkhand,Dhanbad,2005,32,0,24,79,8,48,16,31,7
Jharkhand,Dhanbad Rly.,2005,2,0,2,3,0,3,0,0,2
Jharkhand,Dumka,2005,38,0,4,16,23,12,11,38,65
Jharkhand,Garhwa,2005,17,0,0,20,0,17,0,15,7
Jharkhand,Giridih,2005,28,0,7,13,4,24,54,44,84
Jharkhand,Godda,2005,46,0,8,30,30,8,28,39,15
Jharkhand,Gumla,2005,45,0,7,5,7,2,10,6,10
Jharkhand,Hazaribagh,2005,57,0,16,66,17,31,32,55,15
Jharkhand,Jamshedpur,2005,37,0,60,118,10,10,34,56,173
Jharkhand,Jamshedpur Rly.,2005,0,0,0,4,0,0,3,3,0
Jharkhand,Jamtara,2005,0,0,1,6,0,6,17,17,23
Jharkhand,Koderma,2005,12,0,18,21,3,15,4,23,50
Jharkhand,Latehar,2005,12,0,2,1,0,1,2,3,32
Jharkhand,Lohardagga,2005,25,0,6,19,4,1,11,29,21
Jharkhand,Pakur,2005,30,0,12,11,7,4,12,5,33
Jharkhand,Palamu,2005,27,0,13,40,21,21,13,29,0
Jharkhand,Ranchi,2005,102,5,26,49,11,11,14,58,867
Jharkhand,Sahebganj,2005,44,0,5,16,10,4,6,36,21
Jharkhand,Saraikela,2005,33,0,4,20,0,3,6,22,10
Jharkhand,Simdega,2005,20,0,3,9,9,0,2,1,11
Jharkhand,Total,2005,753,5,243,643,202,257,293,590,1490
Karnataka,Bagalkot,2005,4,0,6,34,9,1,43,68,0
Karnataka,Bangalore Commr.,2005,38,0,172,1633,5,39,167,287,93
Karnataka,Bangalore Rural,2005,16,0,24,106,13,46,110,102,0
Karnataka,Belgaum,2005,13,0,14,141,23,10,74,108,34
Karnataka,Bellary,2005,17,0,12,93,17,5,53,60,7
Karnataka,Bidar,2005,5,0,19,34,9,10,44,53,0
Karnataka,Bijapur,2005,18,0,11,40,12,0,93,105,0
Karnataka,Chamarajnagar,2005,7,0,2,10,0,3,43,23,0
Karnataka,Chickmagalur,2005,16,0,9,18,8,7,33,69,2
Karnataka,Chitradurga,2005,15,0,8,32,6,6,62,29,0
Karnataka,Dakshin Kannada,2005,14,0,10,89,29,2,40,37,13
Karnataka,Davanagere,2005,14,0,6,67,3,9,66,78,5
Karnataka,Dharwad Commr.,2005,0,0,24,66,3,3,2,14,2
Karnataka,Dharwad Rural,2005,4,0,9,13,0,5,21,12,0
Karnataka,Gadag,2005,1,0,7,14,1,4,16,14,0
Karnataka,Gulbarga,2005,16,0,7,76,57,12,119,112,21
Karnataka,Hassan,2005,10,0,7,26,0,8,49,42,0
Karnataka,Haveri,2005,4,0,9,14,0,4,27,22,0
Karnataka,K.G.F.,2005,5,0,4,13,0,7,18,20,0
Karnataka,Kodagu,2005,10,0,4,23,3,2,18,35,2
Karnataka,Kolar,2005,20,0,8,43,0,19,41,41,0
Karnataka,Koppal,2005,8,0,8,25,0,4,24,40,0
Karnataka,Mandya,2005,17,0,5,25,0,13,56,60,0
Karnataka,Mysore Commr.,2005,8,0,7,67,0,6,17,82,0
Karnataka,Mysore Rural,2005,14,0,6,20,0,13,66,57,0
Karnataka,Raichur,2005,8,0,3,52,3,2,66,59,8
Karnataka,Railways,2005,0,0,0,1,0,2,1,1,0
Karnataka,Shimoga,2005,17,0,10,63,7,7,88,158,12
Karnataka,Tumkur,2005,14,0,5,35,8,8,59,41,36
Karnataka,Udupi,2005,7,0,11,13,4,2,27,14,8
Karnataka,Uttar Kannada,2005,3,0,7,23,18,2,42,40,0
Karnataka,Total,2005,343,0,434,2909,238,261,1585,1883,243
Kerala,Alapuzha,2005,22,0,25,181,21,1,165,201,0
Kerala,Cbcid,2005,1,0,11,18,24,0,0,5,0
Kerala,Ernakulam Commr.,2005,7,0,12,248,5,2,33,66,0
Kerala,Ernakulam Rural,2005,15,0,23,137,13,2,134,105,2
Kerala,Idukki,2005,28,0,35,109,5,2,125,107,1
Kerala,Kannur,2005,25,0,17,111,81,0,121,215,4
Kerala,Kasargod,2005,25,0,3,100,17,0,72,133,0
Kerala,Kollam,2005,47,0,13,161,35,2,320,367,2
Kerala,Kottayam,2005,25,0,30,389,10,1,167,149,3
Kerala,Kozhikode Commr.,2005,13,0,16,175,21,2,50,130,1
Kerala,Kozhikode Rural,2005,36,0,12,164,53,2,120,209,1
Kerala,Malappuram,2005,50,0,21,273,36,0,130,449,0
Kerala,Palakkad,2005,53,0,47,184,17,1,66,279,9
Kerala,Pathanamthitta,2005,14,0,13,100,20,1,139,119,0
Kerala,Railways,2005,0,0,0,4,0,0,5,0,0
Kerala,Thrissur,2005,38,0,33,379,45,2,161,270,8
Kerala,Trivandrum Commr.,2005,10,0,25,251,13,0,160,92,0
Kerala,Trivandrum Rural,2005,36,0,12,214,34,2,311,294,3
Kerala,Wayanadu,2005,33,0,13,63,6,1,60,93,0
Kerala,Total,2005,478,0,361,3261,456,21,2339,3283,34
Madhya Pradesh,Anuppur,2005,31,0,4,17,3,5,72,29,10
Madhya Pradesh,Ashok Nagar,2005,47,0,10,5,12,9,113,30,36
Madhya Pradesh,Balaghat,2005,58,0,5,16,24,4,155,34,75
Madhya Pradesh,Barwani,2005,41,0,5,5,7,2,92,14,104
Madhya Pradesh,Betul,2005,136,0,0,19,19,22,130,74,83
Madhya Pradesh,Bhind,2005,29,0,13,20,14,28,73,41,114
Madhya Pradesh,Bhopal,2005,79,0,17,107,19,13,177,125,200
Madhya Pradesh,Bhopal Rly.,2005,1,0,4,12,2,3,11,1,2
Madhya Pradesh,Burhanpur,2005,14,0,10,0,4,3,51,30,42
Madhya Pradesh,Chhatarpur,2005,46,0,6,9,22,18,162,40,104
Madhya Pradesh,Chhindwara,2005,122,0,4,19,15,15,165,122,124
Madhya Pradesh,Damoh,2005,43,0,4,4,4,31,113,53,47
Madhya Pradesh,Datiya,2005,30,0,2,17,7,7,66,26,54
Madhya Pradesh,Dewas,2005,86,0,28,57,37,20,186,173,158
Madhya Pradesh,Dhar,2005,134,0,27,21,37,41,180,63,203
Madhya Pradesh,Dindori,2005,32,0,1,7,4,2,57,11,30
Madhya Pradesh,Guna,2005,77,0,7,22,13,3,176,61,102
Madhya Pradesh,Gwalior,2005,61,0,33,104,13,21,164,130,226
Madhya Pradesh,Harda,2005,32,0,0,8,5,7,41,9,0
Madhya Pradesh,Hoshangabad,2005,64,0,4,17,10,10,124,58,0
Madhya Pradesh,Indore,2005,102,0,85,132,32,29,221,283,369
Madhya Pradesh,Indore Rly.,2005,3,0,0,3,0,0,6,1,0
Madhya Pradesh,Jabalpur,2005,92,0,33,110,4,34,310,154,223
Madhya Pradesh,Jabalpur Rly.,2005,0,0,1,1,1,2,10,0,0
Madhya Pradesh,Jhabua,2005,37,0,4,7,42,1,62,8,0
Madhya Pradesh,Katni,2005,46,0,11,20,9,30,104,50,120
Madhya Pradesh,Khandwa,2005,56,0,11,23,14,8,197,59,81
Madhya Pradesh,Khargon,2005,61,0,31,23,11,21,151,32,108
Madhya Pradesh,Mandla,2005,61,0,2,9,4,4,75,18,45
Madhya Pradesh,Mandsaur,2005,31,0,14,23,32,7,129,79,55
Madhya Pradesh,Morena,2005,32,0,2,38,14,27,89,74,135
Madhya Pradesh,Narsinghpur,2005,65,0,7,8,15,21,156,52,85
Madhya Pradesh,Neemuch,2005,27,0,35,21,8,1,68,41,58
Madhya Pradesh,Panna,2005,33,0,7,6,11,14,85,13,39
Madhya Pradesh,Raisen,2005,97,0,2,12,11,8,154,57,92
Madhya Pradesh,Rajgarh,2005,75,0,15,11,54,4,158,92,89
Madhya Pradesh,Ratlam,2005,74,0,33,31,14,10,127,56,105
Madhya Pradesh,Rewa,2005,64,0,8,41,30,42,107,39,126
Madhya Pradesh,Sagar,2005,110,0,14,23,29,34,362,127,141
Madhya Pradesh,Satna,2005,75,0,10,28,27,34,195,66,202
Madhya Pradesh,Seoni,2005,57,0,1,6,8,22,142,37,96
Madhya Pradesh,Shahdol,2005,43,0,2,32,20,13,156,57,0
Madhya Pradesh,Shajapur,2005,73,0,35,11,26,6,173,64,96
Madhya Pradesh,Sheopur,2005,21,0,0,12,2,1,42,24,28
Madhya Pradesh,Shivpuri,2005,58,0,12,25,25,2,99,30,85
Madhya Pradesh,Sidhi,2005,47,0,8,20,13,23,132,42,119
Madhya Pradesh,Sihore,2005,73,0,6,13,10,14,76,45,126
Madhya Pradesh,Tikamgarh,2005,40,0,3,13,18,18,106,28,67
Madhya Pradesh,Ujjain,2005,74,0,25,69,29,17,172,173,125
Madhya Pradesh,Umariya,2005,34,0,0,18,8,1,55,19,8
Madhya Pradesh,Vidisha,2005,97,0,12,17,25,27,199,45,56
Madhya Pradesh,Total,2005,2921,0,613,1292,817,739,6426,2989,4593
Maharashtra,Ahmednagar,2005,56,0,36,142,26,0,91,338,474
Maharashtra,Akola,2005,21,0,25,97,27,3,82,184,88
Maharashtra,Amravati Commr.,2005,23,0,12,63,14,2,31,57,57
Maharashtra,Amravati Rural,2005,60,0,19,39,35,10,122,132,140
Maharashtra,Aurangabad Commr.,2005,26,0,8,107,10,2,31,93,136
Maharashtra,Aurangabad Rural,2005,9,0,17,37,34,26,44,263,202
Maharashtra,Beed,2005,25,0,22,52,55,7,99,275,198
Maharashtra,Bhandara,2005,15,0,15,39,43,3,64,67,113
Maharashtra,Buldhana,2005,42,0,29,182,72,53,110,187,136
Maharashtra,Chandrapur,2005,41,0,23,51,38,2,93,110,188
Maharashtra,Dhule,2005,15,0,21,42,8,10,27,110,204
Maharashtra,Gadchiroli,2005,22,0,15,4,48,1,62,42,68
Maharashtra,Gondia,2005,22,0,8,23,23,1,106,59,102
Maharashtra,Hingoli,2005,15,0,9,13,38,2,45,106,53
Maharashtra,Jalgaon,2005,52,0,85,311,12,4,92,301,295
Maharashtra,Jalna,2005,20,0,11,63,42,21,53,215,116
Maharashtra,Kolhapur,2005,26,0,98,184,10,22,47,76,281
Maharashtra,Latur,2005,24,0,18,55,35,40,61,107,152
Maharashtra,Mumbai,2005,201,0,536,1664,10,9,385,336,658
Maharashtra,Mumbai Rly.,2005,2,0,6,39,0,0,12,0,1
Maharashtra,Nagpur Commr.,2005,52,0,59,272,26,4,76,185,249
Maharashtra,Nagpur Rly.,2005,1,0,1,9,0,0,7,0,3
Maharashtra,Nagpur Rural,2005,51,0,18,47,48,8,113,86,348
Maharashtra,Nanded,2005,41,0,25,112,52,17,85,239,122
Maharashtra,Nandurbar,2005,19,0,14,43,2,3,21,73,88
Maharashtra,Nasik Commr.,2005,21,0,15,168,5,0,35,121,160
Maharashtra,Nasik Rural,2005,50,0,62,111,17,8,102,375,456
Maharashtra,Navi Mumbai,2005,19,0,42,187,8,9,42,63,359
Maharashtra,Osmanabad,2005,22,0,7,58,23,1,42,118,199
Maharashtra,Parbhani,2005,14,0,8,74,30,10,40,131,89
Maharashtra,Pune Commr.,2005,79,0,72,609,16,1,107,201,407
Maharashtra,Pune Rly.,2005,0,0,2,1,0,0,2,0,0
Maharashtra,Pune Rural,2005,46,0,69,141,32,6,57,172,759
Maharashtra,Raigad,2005,25,0,26,50,5,4,47,63,274
Maharashtra,Ratnagiri,2005,27,0,21,52,19,2,40,40,110
Maharashtra,Sangli,2005,34,0,25,169,23,7,55,105,262
Maharashtra,Satara,2005,31,0,31,96,30,6,61,180,328
Maharashtra,Sindhudurg,2005,4,0,9,12,14,0,20,4,62
Maharashtra,Solapur Commr.,2005,20,0,11,102,4,1,17,47,85
Maharashtra,Solapur Rural,2005,40,0,26,31,20,6,54,127,349
Maharashtra,Thane Commr.,2005,60,0,84,564,17,1,110,246,283
Maharashtra,Thane Rural,2005,66,0,38,137,23,5,132,133,565
Maharashtra,Wardha,2005,35,0,14,56,56,4,110,94,126
Maharashtra,Washim,2005,12,0,6,17,25,10,63,139,74
Maharashtra,Yavatmal,2005,59,0,22,66,48,10,133,233,189
Maharashtra,Total,2005,1545,0,1720,6391,1123,341,3228,6233,9608
Manipur,Bishnupur,2005,3,0,0,8,4,0,3,1,0
Manipur,Chandel,2005,0,0,2,3,11,0,2,0,0
Manipur,Churachandpur,2005,0,0,3,3,1,0,2,0,0
Manipur,Imphal(East),2005,4,0,2,50,20,0,3,1,0
Manipur,Imphal(West),2005,10,0,18,40,58,0,12,3,3
Manipur,Senapati,2005,0,0,1,3,19,0,0,0,1
Manipur,Tamenglong,2005,1,0,0,1,8,0,0,0,0
Manipur,Thoubal,2005,7,0,12,9,9,0,3,15,1
Manipur,Ukhrul,2005,0,0,14,5,25,0,0,0,0
Manipur,Total,2005,25,0,52,122,155,0,25,20,5
Meghalaya,Garo Hills East,2005,4,0,2,6,7,0,0,0,0
Meghalaya,Garo Hills South,2005,0,0,0,0,1,0,2,0,0
Meghalaya,Garo Hills West,2005,3,0,0,5,14,0,9,2,17
Meghalaya,Jaintia Hills,2005,10,0,4,3,9,0,10,0,13
Meghalaya,Khasi Hills East,2005,25,0,11,24,30,1,10,1,22
Meghalaya,Khasi Hills West,2005,12,0,0,1,0,0,7,0,0
Meghalaya,Ri-Bhoi,2005,9,0,1,0,9,0,6,0,9
Meghalaya,Total,2005,63,0,18,39,70,1,44,3,61
Mizoram,Aizawl,2005,10,0,4,18,7,0,10,0,2
Mizoram,Champhai,2005,5,0,1,3,1,0,7,0,0
Mizoram,Kolasib,2005,2,0,0,2,1,0,0,0,0
Mizoram,Lawngtlai,2005,2,0,1,10,2,2,6,0,0
Mizoram,Lunglei,2005,6,0,2,10,6,0,8,0,2
Mizoram,Mamit,2005,6,0,0,5,0,0,3,0,0
Mizoram,Saiha,2005,2,0,2,8,2,2,9,0,0
Mizoram,Serchhip,2005,4,0,1,2,1,0,6,0,0
Mizoram,Total,2005,37,0,11,58,20,4,49,0,4
Nagaland,Dimapur,2005,7,0,5,12,0,0,0,0,30
Nagaland,Kiphire,2005,0,0,0,0,0,0,0,0,0
Nagaland,Kohima,2005,5,0,5,21,0,0,0,0,0
Nagaland,Mokokchung,2005,0,0,1,1,1,0,1,0,3
Nagaland,Mon,2005,1,0,3,1,0,0,1,0,3
Nagaland,Peren,2005,1,0,0,0,0,0,4,0,1
Nagaland,Phek,2005,1,0,1,2,1,0,1,0,0
Nagaland,Tuensang,2005,1,0,1,3,2,0,0,0,0
Nagaland,Wokha,2005,0,0,1,0,0,0,0,0,0
Nagaland,Zunheboto,2005,1,0,0,1,0,0,0,0,0
Nagaland,Total,2005,17,0,17,41,4,0,7,0,37
Orissa,Angul,2005,28,0,14,39,12,5,135,61,348
Orissa,Balasore,2005,43,0,20,38,21,32,132,122,0
Orissa,Baragarh,2005,21,0,13,45,26,9,112,256,82
Orissa,Berhampur,2005,6,0,9,46,10,1,111,24,60
Orissa,Bhadrak,2005,37,0,6,34,16,9,90,116,61
Orissa,Bolangir,2005,37,0,5,27,13,11,126,22,48
Orissa,Boudh,2005,7,0,1,2,7,3,35,6,0
Orissa,Cuttack,2005,29,0,25,96,11,39,24,162,153
Orissa,Deogarh,2005,16,0,4,4,5,1,60,12,31
Orissa,Dhenkanal,2005,8,0,13,36,10,20,139,34,68
Orissa,Gajapati,2005,9,0,3,8,3,1,35,3,29
Orissa,Ganjam,2005,26,0,8,13,24,28,179,92,74
Orissa,Jagatsinghpur,2005,14,0,8,25,7,11,7,35,179
Orissa,Jajpur,2005,20,0,16,20,18,25,37,59,95
Orissa,Jharsuguda,2005,19,0,2,15,17,1,52,22,74
Orissa,Kalahandi,2005,30,0,2,49,9,5,40,32,53
Orissa,Kandhamal,2005,20,0,5,13,6,8,111,45,0
Orissa,Kendrapara,2005,23,0,8,15,17,19,13,5,25
Orissa,Keonjhar,2005,36,0,28,31,21,12,89,20,355
Orissa,Khurda,2005,57,0,45,247,29,17,42,46,165
Orissa,Koraput,2005,45,0,4,30,14,2,116,64,76
Orissa,Malkangir,2005,7,0,2,7,4,3,23,6,18
Orissa,Mayurbhanj,2005,102,0,15,30,14,19,136,180,116
Orissa,Nayagarh,2005,17,0,8,30,16,4,10,14,31
Orissa,Nowrangpur,2005,18,0,2,2,4,2,49,8,33
Orissa,Nuapada,2005,6,0,0,15,9,2,38,14,20
Orissa,Puri,2005,31,0,6,27,11,30,24,90,305
Orissa,Rayagada,2005,17,0,6,12,8,2,44,37,83
Orissa,Rourkela,2005,17,0,4,36,3,8,51,26,53
Orissa,Sambalpur,2005,15,0,10,17,11,3,76,22,133
Orissa,Sonepur,2005,4,0,2,6,7,0,43,6,25
Orissa,Srp(Cuttack),2005,1,0,0,2,1,0,4,2,2
Orissa,Srp(Rourkela),2005,1,0,2,1,0,0,6,1,3
Orissa,Sundargarh,2005,32,0,5,22,2,2,49,27,236
Orissa,Total,2005,799,0,301,1040,386,334,2238,1671,3034
Punjab,Amritsar,2005,5,0,15,199,0,2,6,44,79
Punjab,Barnala,2005,11,0,8,86,1,3,11,12,44
Punjab,Batala,2005,24,0,11,127,0,7,7,34,58
Punjab,Bhatinda,2005,30,0,32,150,5,2,23,45,5
Punjab,Faridkot,2005,6,0,2,71,0,1,10,9,0
Punjab,Fatehgarh Sahib,2005,6,0,17,82,0,4,1,13,109
Punjab,Ferozpur,2005,24,0,18,112,4,8,10,21,94
Punjab,G.R.P,2005,1,0,0,17,1,2,4,0,0
Punjab,Gurdaspur,2005,16,0,5,39,5,6,11,22,125
Punjab,Hoshiarpur,2005,23,0,6,109,5,8,11,46,156
Punjab,Jagraon,2005,12,0,6,33,0,0,9,3,62
Punjab,Jalandhar,2005,37,0,16,454,8,7,27,78,231
Punjab,Kapurthala,2005,18,0,6,119,3,2,21,29,101
Punjab,Khanna,2005,11,0,2,38,1,2,12,20,92
Punjab,Ludhiana,2005,42,0,30,327,5,5,26,85,245
Punjab,Majitha,2005,9,0,5,72,5,7,2,16,78
Punjab,Mansa,2005,15,0,10,59,1,1,5,18,0
Punjab,Moga,2005,9,0,16,119,0,3,6,13,58
Punjab,Muktsar,2005,18,0,23,87,5,3,18,34,41
Punjab,Nawan Shahr,2005,14,0,3,75,2,2,8,21,85
Punjab,Patiala,2005,19,0,32,224,0,8,30,82,302
Punjab,Ropar,2005,18,0,6,117,1,6,16,29,189
Punjab,Sangrur,2005,11,0,28,149,3,7,14,43,79
Punjab,Tarn Taran,2005,19,0,9,69,0,3,20,12,50
Punjab,Total,2005,398,0,306,2934,55,99,308,729,2283
Rajasthan,Ajmer,2005,26,0,31,313,18,11,61,339,352
Rajasthan,Alwar,2005,52,0,33,463,27,31,110,297,336
Rajasthan,Banswara,2005,29,0,2,53,19,7,83,56,82
Rajasthan,Baran,2005,45,0,5,122,20,3,121,212,69
Rajasthan,Barmer,2005,19,0,4,107,15,13,86,72,125
Rajasthan,Bharatpur,2005,46,0,16,312,32,35,44,220,195
Rajasthan,Bhilwara,2005,39,0,8,339,27,14,87,293,216
Rajasthan,Bikaner,2005,30,0,12,185,14,12,67,199,162
Rajasthan,Bundi,2005,41,0,7,80,8,5,105,166,111
Rajasthan,Chittorgarh,2005,61,0,19,287,36,7,118,335,210
Rajasthan,Churu,2005,18,0,8,162,13,7,60,149,100
Rajasthan,Dausa,2005,12,0,13,139,10,13,12,83,177
Rajasthan,Dholpur,2005,25,0,16,104,13,17,30,98,107
Rajasthan,Dungarpur,2005,9,0,6,35,14,3,39,50,96
Rajasthan,G.R.P.,2005,2,0,0,7,0,0,15,0,2
Rajasthan,Ganganagar,2005,45,0,25,469,15,10,58,373,134
Rajasthan,Hanumangarh,2005,36,0,10,297,8,12,58,235,100
Rajasthan,Jaipur,2005,82,0,213,1844,47,40,212,538,994
Rajasthan,Jaisalmer,2005,2,0,2,31,2,5,16,16,32
Rajasthan,Jalore,2005,5,0,3,109,15,5,42,59,86
Rajasthan,Jhalawar,2005,40,0,11,105,53,6,160,199,103
Rajasthan,Jhunjhunu,2005,31,0,8,166,33,11,45,98,126
Rajasthan,Jodhpur,2005,29,0,26,599,20,16,98,221,288
Rajasthan,Karauli,2005,22,0,10,138,14,14,40,116,82
Rajasthan,Kota,2005,40,0,26,429,23,5,154,361,212
Rajasthan,Nagaur,2005,33,0,3,249,25,15,169,136,171
Rajasthan,Pali,2005,36,0,21,199,15,8,145,211,231
Rajasthan,Rajsamand,2005,8,0,10,103,12,0,29,117,141
Rajasthan,Sawai Madhopur,2005,23,0,9,106,11,8,28,114,68
Rajasthan,Sikar,2005,21,0,6,165,37,12,22,137,228
Rajasthan,Sirohi,2005,23,0,11,102,14,4,51,104,133
Rajasthan,Tonk,2005,18,0,11,179,9,1,37,188,132
Rajasthan,Udaipur,2005,45,0,28,343,29,11,101,205,271
Rajasthan,Total,2005,993,0,613,8341,648,361,2503,5997,5872
Sikkim,East,2005,8,0,3,32,1,0,8,3,31
Sikkim,North,2005,1,0,0,0,1,0,1,0,4
Sikkim,South,2005,6,0,0,5,0,0,22,0,7
Sikkim,West,2005,3,0,1,7,1,0,7,1,11
Sikkim,Total,2005,18,0,4,44,3,0,38,4,53
Tamil Nadu,Chennai,2005,43,0,8,530,0,30,82,236,1041
Tamil Nadu,Chennai Rly.,2005,0,0,5,4,0,0,3,2,4
Tamil Nadu,Coimbatore Rural,2005,33,0,15,168,18,8,165,147,819
Tamil Nadu,Coimbatore Urban,2005,6,0,32,109,1,3,21,31,184
Tamil Nadu,Cuddalore,2005,32,0,0,1,13,13,45,40,387
Tamil Nadu,Dharmapuri,2005,7,0,12,41,27,5,42,41,152
Tamil Nadu,Dindigul,2005,17,0,7,73,0,5,33,35,302
Tamil Nadu,Erode,2005,22,0,20,84,18,5,72,63,498
Tamil Nadu,Kanchipuram,2005,18,0,0,0,9,12,43,10,38
Tamil Nadu,Kanyakumari,2005,13,0,5,124,12,1,15,40,169
Tamil Nadu,Karur,2005,6,0,2,19,12,5,8,26,216
Tamil Nadu,Krishnagiri,2005,10,0,10,60,25,10,47,28,305
Tamil Nadu,Madurai Rural,2005,24,0,7,62,15,4,57,44,286
Tamil Nadu,Madurai Urban,2005,5,0,5,222,2,3,28,43,112
Tamil Nadu,Nagapattinam,2005,12,0,3,38,18,2,45,19,145
Tamil Nadu,Namakkal,2005,0,0,4,19,11,0,39,41,316
Tamil Nadu,Nilgiris,2005,13,0,3,12,0,0,32,6,0
Tamil Nadu,Perambalur,2005,19,0,7,37,9,3,51,21,129
Tamil Nadu,Pudukottai,2005,14,0,9,22,18,4,55,51,178
Tamil Nadu,Ramnathapuram,2005,5,0,8,56,16,4,28,29,108
Tamil Nadu,Salem Rural,2005,52,0,3,71,36,14,218,154,338
Tamil Nadu,Salem Urban,2005,4,0,4,97,1,6,9,18,110
Tamil Nadu,Sivagangai,2005,2,0,2,43,9,8,8,28,114
Tamil Nadu,Thanjavur,2005,9,0,5,18,27,7,102,26,263
Tamil Nadu,Theni,2005,3,0,2,72,12,2,50,19,149
Tamil Nadu,Thirunelveli Rural,2005,27,0,6,30,19,5,123,48,230
Tamil Nadu,Thirunelveli Urban,2005,2,0,2,50,3,1,7,6,53
