statename,distname,YEAR,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,AUTO THEFT
Haryana,Yamunanagar,2004,17,2,11,165,102
Haryana,Total,2004,423,52,244,6558,3735
Himachal Pradesh,Bilaspur,2004,8,0,4,55,13
Himachal Pradesh,Chamba,2004,22,0,0,27,4
Himachal Pradesh,G.R.P.,2004,0,0,0,2,0
Himachal Pradesh,Hamirpur,2004,10,0,0,42,7
Himachal Pradesh,Kangra,2004,15,0,1,81,27
Himachal Pradesh,Kinnaur,2004,3,0,0,10,1
Himachal Pradesh,Kullu,2004,13,0,7,40,8
Himachal Pradesh,Lahaul-Spiti,2004,0,0,0,1,0
Himachal Pradesh,Mandi,2004,7,0,2,63,15
Himachal Pradesh,Shimla,2004,16,1,5,154,43
Himachal Pradesh,Sirmaur,2004,13,0,3,27,7
Himachal Pradesh,Solan,2004,9,0,2,89,45
Himachal Pradesh,Una,2004,7,0,1,52,22
Himachal Pradesh,Total,2004,123,1,25,643,192
Jammu & Kashmir,Anantnag,2004,60,7,30,92,32
Jammu & Kashmir,Awantipora,2004,12,0,1,37,7
Jammu & Kashmir,Baramulla,2004,87,0,6,197,29
Jammu & Kashmir,Border,2004,11,0,0,19,1
Jammu & Kashmir,Budgam,2004,61,0,7,147,19
Jammu & Kashmir,Crime Jammu,2004,0,0,0,0,0
Jammu & Kashmir,Crime Srinagar,2004,0,0,0,0,0
Jammu & Kashmir,Doda,2004,20,9,3,28,0
Jammu & Kashmir,Ganderbal,2004,34,0,1,63,4
Jammu & Kashmir,Handwara,2004,34,0,3,32,1
Jammu & Kashmir,Jammu,2004,54,0,6,383,196
Jammu & Kashmir,Kargil,2004,1,0,0,1,0
Jammu & Kashmir,Kathua,2004,24,0,2,30,6
Jammu & Kashmir,Kulgam,2004,42,0,5,26,5
Jammu & Kashmir,Kupwara,2004,46,0,0,62,3
Jammu & Kashmir,Leh,2004,4,0,0,4,0
Jammu & Kashmir,Poonch,2004,18,0,0,41,0
Jammu & Kashmir,Pulwama,2004,47,7,17,104,22
Jammu & Kashmir,Railways,2004,0,0,0,9,0
Jammu & Kashmir,Rajouri,2004,34,0,0,96,8
Jammu & Kashmir,Ramban,2004,12,0,0,36,1
Jammu & Kashmir,Reasi,2004,11,1,0,12,1
Jammu & Kashmir,Srinagar,2004,115,3,48,430,229
Jammu & Kashmir,Udhampur,2004,8,1,0,90,9
Jammu & Kashmir,Total,2004,735,28,129,1939,573
Jharkhand,Bokaro,2004,40,40,64,445,95
Jharkhand,Chaibasa,2004,19,7,14,98,5
Jharkhand,Chatra,2004,4,31,19,83,24
Jharkhand,Deoghar,2004,5,13,25,98,20
Jharkhand,Dhanbad,2004,72,69,64,493,31
Jharkhand,Dhanbad Rly.,2004,2,21,32,240,0
Jharkhand,Dumka,2004,15,7,13,88,0
Jharkhand,Garhwa,2004,9,17,20,68,0
Jharkhand,Giridih,2004,23,49,42,128,2
Jharkhand,Godda,2004,21,9,10,128,0
Jharkhand,Gumla,2004,9,23,41,58,7
Jharkhand,Hazaribagh,2004,33,60,66,537,44
Jharkhand,Jamshedpur,2004,50,8,29,539,135
Jharkhand,Jamshedpur Rly.,2004,1,5,6,114,4
Jharkhand,Jamtara,2004,13,4,6,69,4
Jharkhand,Koderma,2004,13,39,24,50,6
Jharkhand,Latehar,2004,8,27,13,33,0
Jharkhand,Lohardagga,2004,2,3,22,29,1
Jharkhand,Pakur,2004,6,5,13,32,2
Jharkhand,Palamu,2004,16,31,40,99,4
Jharkhand,Ranchi,2004,67,85,181,729,159
Jharkhand,Sahebganj,2004,22,5,17,98,6
Jharkhand,Saraikela,2004,16,12,7,115,8
Jharkhand,Simdega,2004,2,10,12,3,3
Jharkhand,Total,2004,468,580,780,4374,560
Karnataka,Bagalkot,2004,24,7,11,134,37
Karnataka,Bangalore Commr.,2004,175,37,455,8241,3205
Karnataka,Bangalore Rural,2004,42,17,42,1038,249
Karnataka,Belgaum,2004,26,14,30,291,114
Karnataka,Bellary,2004,17,3,13,295,70
Karnataka,Bidar,2004,25,9,20,246,47
Karnataka,Bijapur,2004,21,6,16,121,45
Karnataka,Chamarajnagar,2004,9,2,6,151,9
Karnataka,Chickmagalur,2004,13,4,14,237,55
Karnataka,Chitradurga,2004,7,5,10,252,51
Karnataka,Dakshin Kannada,2004,13,8,50,259,120
Karnataka,Davanagere,2004,10,5,19,273,69
Karnataka,Dharwad Commr.,2004,10,0,8,251,106
Karnataka,Dharwad Rural,2004,3,3,0,80,3
Karnataka,Gadag,2004,5,4,4,65,22
Karnataka,Gulbarga,2004,40,7,27,251,89
Karnataka,Hassan,2004,19,4,49,413,98
Karnataka,Haveri,2004,7,1,4,115,24
Karnataka,K.G.F.,2004,8,0,7,94,35
Karnataka,Kodagu,2004,3,1,9,111,15
Karnataka,Kolar,2004,28,3,23,365,69
Karnataka,Koppal,2004,4,3,4,54,12
Karnataka,Mandya,2004,8,3,17,302,61
Karnataka,Mysore Commr.,2004,7,1,63,485,228
Karnataka,Mysore Rural,2004,11,3,12,233,32
Karnataka,Raichur,2004,11,3,13,110,39
Karnataka,Railways,2004,4,1,6,643,5
Karnataka,Shimoga,2004,22,3,31,330,119
Karnataka,Tumkur,2004,8,7,31,477,97
Karnataka,Udupi,2004,8,10,11,103,36
Karnataka,Uttar Kannada,2004,4,3,19,73,24
Karnataka,Total,2004,592,177,1024,16093,5185
Kerala,Alapuzha,2004,11,5,31,173,82
Kerala,Cbcid,2004,0,4,1,19,16
Kerala,Ernakulam Commr.,2004,18,8,56,486,169
Kerala,Ernakulam Rural,2004,10,4,28,332,98
Kerala,Idukki,2004,10,2,20,195,25
Kerala,Kannur,2004,4,4,14,175,62
Kerala,Kasargod,2004,4,3,14,165,80
Kerala,Kollam,2004,20,7,58,330,123
Kerala,Kottayam,2004,13,5,36,319,68
Kerala,Kozhikode Commr.,2004,15,11,26,361,162
Kerala,Kozhikode Rural,2004,10,3,15,201,88
Kerala,Malappuram,2004,10,6,29,341,123
Kerala,Palakkad,2004,13,7,33,292,76
Kerala,Pathanamthitta,2004,19,3,28,161,58
Kerala,Railways,2004,1,2,4,120,1
Kerala,Thrissur,2004,22,24,66,547,226
Kerala,Trivandrum Commr.,2004,21,12,94,487,139
Kerala,Trivandrum Rural,2004,28,13,70,367,97
Kerala,Wayanadu,2004,3,6,16,169,24
Kerala,Total,2004,232,129,639,5240,1717
Madhya Pradesh,Anuppur,2004,4,0,10,131,25
Madhya Pradesh,Ashok Nagar,2004,3,1,11,152,23
Madhya Pradesh,Balaghat,2004,10,2,20,204,31
Madhya Pradesh,Barwani,2004,1,1,4,209,46
Madhya Pradesh,Betul,2004,17,3,9,179,37
Madhya Pradesh,Bhind,2004,33,2,43,273,30
Madhya Pradesh,Bhopal,2004,43,2,106,2110,890
Madhya Pradesh,Bhopal Rly.,2004,1,0,24,1295,19
Madhya Pradesh,Burhanpur,2004,2,9,3,133,28
Madhya Pradesh,Chhatarpur,2004,19,3,36,206,0
Madhya Pradesh,Chhindwara,2004,15,2,15,278,91
Madhya Pradesh,Damoh,2004,9,2,24,164,35
Madhya Pradesh,Datiya,2004,18,1,29,156,27
Madhya Pradesh,Dewas,2004,30,10,70,853,165
Madhya Pradesh,Dhar,2004,30,5,38,535,139
Madhya Pradesh,Dindori,2004,3,0,4,38,9
Madhya Pradesh,Guna,2004,6,1,21,271,63
Madhya Pradesh,Gwalior,2004,52,8,109,1350,643
Madhya Pradesh,Harda,2004,3,0,15,95,33
Madhya Pradesh,Hoshangabad,2004,20,2,29,371,95
Madhya Pradesh,Indore,2004,47,10,121,2610,1337
Madhya Pradesh,Indore Rly.,2004,0,0,5,149,0
Madhya Pradesh,Jabalpur,2004,39,4,79,1048,539
Madhya Pradesh,Jabalpur Rly.,2004,0,0,15,289,5
Madhya Pradesh,Jhabua,2004,43,2,12,183,37
Madhya Pradesh,Katni,2004,4,0,14,186,68
Madhya Pradesh,Khandwa,2004,14,6,26,290,76
Madhya Pradesh,Khargon,2004,18,4,22,755,63
Madhya Pradesh,Mandla,2004,4,0,10,65,4
Madhya Pradesh,Mandsaur,2004,17,0,35,503,114
Madhya Pradesh,Morena,2004,15,7,42,375,78
Madhya Pradesh,Narsinghpur,2004,4,1,6,136,22
Madhya Pradesh,Neemuch,2004,6,2,15,319,95
Madhya Pradesh,Panna,2004,10,4,13,84,10
Madhya Pradesh,Raisen,2004,11,0,12,208,45
Madhya Pradesh,Rajgarh,2004,19,13,41,458,68
Madhya Pradesh,Ratlam,2004,19,1,11,392,99
Madhya Pradesh,Rewa,2004,36,3,74,486,155
Madhya Pradesh,Sagar,2004,30,0,40,449,75
Madhya Pradesh,Satna,2004,17,4,43,407,149
Madhya Pradesh,Seoni,2004,10,0,8,111,21
Madhya Pradesh,Shahdol,2004,10,0,19,227,33
Madhya Pradesh,Shajapur,2004,15,6,63,639,93
Madhya Pradesh,Sheopur,2004,5,0,4,90,12
Madhya Pradesh,Shivpuri,2004,28,7,32,304,68
Madhya Pradesh,Sidhi,2004,27,1,29,263,29
Madhya Pradesh,Sihore,2004,5,6,11,384,56
Madhya Pradesh,Tikamgarh,2004,11,0,22,214,26
Madhya Pradesh,Ujjain,2004,36,10,58,1592,278
Madhya Pradesh,Umariya,2004,2,2,10,95,0
Madhya Pradesh,Vidisha,2004,11,0,14,272,64
Madhya Pradesh,Total,2004,832,147,1526,22586,6148
Maharashtra,Ahmednagar,2004,25,30,108,969,289
Maharashtra,Akola,2004,23,15,57,957,99
Maharashtra,Amravati Commr.,2004,21,0,45,838,172
Maharashtra,Amravati Rural,2004,20,7,21,888,40
Maharashtra,Aurangabad Commr.,2004,15,13,36,603,192
Maharashtra,Aurangabad Rural,2004,11,22,44,330,39
Maharashtra,Beed,2004,19,41,59,727,143
Maharashtra,Bhandara,2004,16,1,12,492,51
Maharashtra,Buldhana,2004,20,23,38,745,93
Maharashtra,Chandrapur,2004,18,11,24,673,75
Maharashtra,Dhule,2004,3,10,8,266,57
Maharashtra,Gadchiroli,2004,8,5,11,152,15
Maharashtra,Gondia,2004,21,5,23,317,36
Maharashtra,Hingoli,2004,15,10,34,202,19
Maharashtra,Jalgaon,2004,12,13,40,652,121
Maharashtra,Jalna,2004,10,15,39,338,67
Maharashtra,Kolhapur,2004,20,6,28,621,202
Maharashtra,Latur,2004,19,7,31,366,57
Maharashtra,Mumbai,2004,178,42,302,11510,3247
Maharashtra,Mumbai Rly.,2004,2,2,29,1772,2
Maharashtra,Nagpur Commr.,2004,49,21,178,2447,919
Maharashtra,Nagpur Rly.,2004,2,2,13,1024,8
Maharashtra,Nagpur Rural,2004,27,5,49,1075,93
Maharashtra,Nanded,2004,23,24,68,619,96
Maharashtra,Nandurbar,2004,9,5,5,197,33
Maharashtra,Nasik Commr.,2004,17,6,17,808,295
Maharashtra,Nasik Rural,2004,24,13,29,462,97
Maharashtra,Navi Mumbai,2004,19,30,99,1086,518
Maharashtra,Osmanabad,2004,12,9,22,331,44
Maharashtra,Parbhani,2004,12,12,51,292,50
Maharashtra,Pune Commr.,2004,70,24,130,3905,2076
Maharashtra,Pune Rly.,2004,0,1,4,132,0
Maharashtra,Pune Rural,2004,26,32,70,854,310
Maharashtra,Raigad,2004,13,24,19,253,41
Maharashtra,Ratnagiri,2004,6,2,12,196,27
Maharashtra,Sangli,2004,14,15,21,566,117
Maharashtra,Satara,2004,20,15,36,589,166
Maharashtra,Sindhudurg,2004,5,0,11,105,15
Maharashtra,Solapur Commr.,2004,10,6,39,360,103
Maharashtra,Solapur Rural,2004,18,16,34,435,113
Maharashtra,Thane Commr.,2004,67,33,159,2114,831
Maharashtra,Thane Rural,2004,42,37,83,623,184
Maharashtra,Wardha,2004,25,6,41,619,39
Maharashtra,Washim,2004,17,6,17,418,24
Maharashtra,Yavatmal,2004,42,7,33,1024,92
Maharashtra,Total,2004,1045,629,2229,43952,11307
Manipur,Bishnupur,2004,14,0,0,26,0
Manipur,Chandel,2004,1,0,0,4,0
Manipur,Churachandpur,2004,7,0,0,8,0
Manipur,Imphal(East),2004,23,0,1,27,9
Manipur,Imphal(West),2004,38,1,1,142,98
Manipur,Senapati,2004,7,0,1,8,0
Manipur,Tamenglong,2004,5,0,0,7,0
Manipur,Thoubal,2004,32,0,0,14,1
Manipur,Ukhrul,2004,1,1,0,8,0
Manipur,Total,2004,128,2,3,244,108
Meghalaya,Garo Hills East,2004,3,5,10,18,0
Meghalaya,Garo Hills South,2004,2,4,1,9,0
Meghalaya,Garo Hills West,2004,10,14,3,31,0
Meghalaya,Jaintia Hills,2004,6,14,5,61,14
Meghalaya,Khasi Hills East,2004,29,28,46,228,115
Meghalaya,Khasi Hills West,2004,2,6,6,25,0
Meghalaya,Ri-Bhoi,2004,2,20,10,46,9
Meghalaya,Total,2004,54,91,81,418,138
Mizoram,Aizawl,2004,6,3,2,350,0
Mizoram,Champhai,2004,2,1,1,50,0
Mizoram,Kolasib,2004,1,1,1,5,0
Mizoram,Lawngtlai,2004,1,1,1,30,0
Mizoram,Lunglei,2004,2,2,1,100,0
Mizoram,Mamit,2004,1,1,0,5,0
Mizoram,Saiha,2004,1,1,0,50,0
Mizoram,Serchhip,2004,1,0,0,20,0
Mizoram,Total,2004,15,10,6,610,0
Nagaland,Dimapur,2004,9,4,93,85,7
Nagaland,Kiphire,2004,0,2,1,10,0
Nagaland,Kohima,2004,9,3,14,36,11
Nagaland,Mokokchung,2004,1,0,1,9,2
Nagaland,Mon,2004,2,3,4,33,2
Nagaland,Peren,2004,0,0,0,3,0
Nagaland,Phek,2004,0,0,0,4,0
Nagaland,Tuensang,2004,0,0,2,9,0
Nagaland,Wokha,2004,2,0,0,41,2
Nagaland,Zunheboto,2004,0,2,2,25,2
Nagaland,Total,2004,23,14,117,255,26
Orissa,Angul,2004,10,12,19,222,12
Orissa,Balasore,2004,35,7,32,197,34
Orissa,Baragarh,2004,14,6,19,155,27
Orissa,Berhampur,2004,13,4,43,164,45
Orissa,Bhadrak,2004,17,5,13,95,13
Orissa,Bolangir,2004,6,0,31,146,22
Orissa,Boudh,2004,4,2,3,42,0
Orissa,Cuttack,2004,51,29,129,729,303
Orissa,Deogarh,2004,3,3,9,40,4
Orissa,Dhenkanal,2004,20,9,24,112,11
Orissa,Gajapati,2004,7,1,1,26,5
Orissa,Ganjam,2004,18,13,37,182,30
Orissa,Jagatsinghpur,2004,29,4,31,129,13
Orissa,Jajpur,2004,21,10,42,168,0
Orissa,Jharsuguda,2004,9,4,4,91,21
Orissa,Kalahandi,2004,11,5,26,81,20
Orissa,Kandhamal,2004,17,1,13,62,6
Orissa,Kendrapara,2004,8,7,19,76,5
Orissa,Keonjhar,2004,14,1,24,172,26
Orissa,Khurda,2004,57,39,174,1130,541
Orissa,Koraput,2004,20,20,28,109,16
Orissa,Malkangir,2004,2,2,4,42,1
Orissa,Mayurbhanj,2004,26,5,29,229,21
Orissa,Nayagarh,2004,20,5,20,110,12
Orissa,Nowrangpur,2004,13,8,14,51,5
Orissa,Nuapada,2004,7,1,7,56,9
Orissa,Puri,2004,30,6,49,282,47
Orissa,Rayagada,2004,4,5,5,69,3
Orissa,Rourkela,2004,9,2,19,212,75
Orissa,Sambalpur,2004,16,9,38,233,37
Orissa,Sonepur,2004,1,1,8,40,2
Orissa,Srp(Cuttack),2004,3,1,8,269,18
Orissa,Srp(Rourkela),2004,0,1,5,86,2
Orissa,Sundargarh,2004,11,10,25,160,15
Orissa,Total,2004,526,238,952,5967,1401
Punjab,Amritsar,2004,31,1,6,181,122
Punjab,Barnala,2004,8,1,5,49,13
Punjab,Batala,2004,8,0,0,50,17
Punjab,Bhatinda,2004,26,0,0,124,68
Punjab,Faridkot,2004,15,0,2,47,20
Punjab,Fatehgarh Sahib,2004,10,0,1,46,18
Punjab,Ferozepur,2004,19,1,2,165,58
Punjab,G.R.P,2004,0,0,1,30,4
Punjab,Gurdaspur,2004,8,0,2,59,23
Punjab,Hoshiarpur,2004,21,3,3,75,23
Punjab,Jagraon,2004,28,0,4,100,24
Punjab,Jalandhar,2004,53,1,6,254,118
Punjab,Kapurthala,2004,12,0,1,62,23
Punjab,Khanna,2004,14,0,3,65,24
Punjab,Ludhiana,2004,70,0,8,369,208
Punjab,Majitha,2004,16,0,5,58,11
Punjab,Mansa,2004,5,0,2,32,12
Punjab,Moga,2004,14,1,0,61,31
Punjab,Muktsar,2004,10,1,1,56,24
Punjab,Nawan Shahr,2004,16,1,11,108,34
Punjab,Patiala,2004,45,0,10,304,140
Punjab,Ropar,2004,12,3,1,137,70
Punjab,Sangrur,2004,16,3,7,111,37
Punjab,Tarn Taran,2004,6,1,5,44,10
Punjab,Total,2004,463,17,86,2587,1132
Rajasthan,Ajmer,2004,101,6,47,817,304
Rajasthan,Alwar,2004,86,0,31,1138,459
Rajasthan,Banswara,2004,54,1,9,92,20
Rajasthan,Baran,2004,63,0,11,283,49
Rajasthan,Barmer,2004,21,0,7,194,73
Rajasthan,Bharatpur,2004,128,7,26,821,198
Rajasthan,Bhilwara,2004,157,2,55,846,319
Rajasthan,Bikaner,2004,31,2,8,513,133
Rajasthan,Bundi,2004,99,0,17,366,96
Rajasthan,Chittorgarh,2004,184,2,40,673,225
Rajasthan,Churu,2004,31,2,1,204,29
Rajasthan,Dausa,2004,50,0,5,479,168
Rajasthan,Dholpur,2004,44,4,22,278,64
Rajasthan,Dungarpur,2004,40,1,13,76,21
Rajasthan,G.R.P.,2004,3,0,3,554,13
Rajasthan,Ganganagar,2004,69,0,12,480,129
Rajasthan,Hanumangarh,2004,35,3,15,336,50
Rajasthan,Jaipur,2004,227,10,63,4032,1886
Rajasthan,Jaisalmer,2004,10,0,0,156,20
Rajasthan,Jalore,2004,27,0,8,124,31
Rajasthan,Jhalawar,2004,88,0,38,438,140
Rajasthan,Jhunjhunu,2004,40,1,8,330,57
Rajasthan,Jodhpur,2004,66,3,23,1200,620
Rajasthan,Karauli,2004,75,0,14,339,96
Rajasthan,Kota,2004,137,1,50,1201,600
Rajasthan,Nagaur,2004,40,2,7,400,91
Rajasthan,Pali,2004,90,0,19,453,143
Rajasthan,Rajsamand,2004,38,0,7,165,51
Rajasthan,Sawai Madhopur,2004,50,0,6,377,128
Rajasthan,Sikar,2004,66,1,6,353,72
Rajasthan,Sirohi,2004,33,6,18,188,39
Rajasthan,Tonk,2004,67,1,9,318,105
Rajasthan,Udaipur,2004,134,3,75,618,219
Rajasthan,Total,2004,2384,58,673,18842,6648
Sikkim,East,2004,1,0,4,58,6
Sikkim,North,2004,0,0,0,0,0
Sikkim,South,2004,4,0,0,11,0
Sikkim,West,2004,0,0,1,4,0
Sikkim,Total,2004,5,0,5,73,6
Tamil Nadu,Chengai,2004,36,2,26,991,157
Tamil Nadu,Chennai,2004,37,4,47,3263,784
Tamil Nadu,Chennai Rly.,2004,1,0,5,222,4
Tamil Nadu,Coimbatore Rural,2004,25,6,31,1171,383
Tamil Nadu,Coimbatore Urban,2004,8,3,17,1064,410
Tamil Nadu,Cuddalore,2004,41,2,17,474,150
Tamil Nadu,Dharmapuri,2004,23,4,10,163,66
Tamil Nadu,Dindigul,2004,26,0,20,504,96
Tamil Nadu,Erode,2004,22,1,20,666,215
Tamil Nadu,Kanchipuram,2004,12,3,9,376,57
Tamil Nadu,Kanyakumari,2004,12,0,7,314,45
Tamil Nadu,Karur,2004,6,1,6,212,53
Tamil Nadu,Krishnagiri,2004,27,4,9,292,124
Tamil Nadu,Madurai Rural,2004,29,2,35,526,62
Tamil Nadu,Madurai Urban,2004,27,2,18,529,185
Tamil Nadu,Nagapattinam,2004,21,0,3,265,49
Tamil Nadu,Namakkal,2004,18,4,3,196,61
Tamil Nadu,Nilgiris,2004,3,0,6,150,13
Tamil Nadu,Perambalur,2004,31,1,8,162,66
Tamil Nadu,Pudukottai,2004,22,0,5,219,56
Tamil Nadu,Ramnathapuram,2004,19,3,6,209,27
Tamil Nadu,Salem Rural,2004,102,6,28,245,30
Tamil Nadu,Salem Urban,2004,6,0,3,258,66
Tamil Nadu,Sivagangai,2004,21,0,7,308,38
Tamil Nadu,Thanjavur,2004,29,1,10,475,122
Tamil Nadu,Theni,2004,10,0,8,287,46
Tamil Nadu,Thirunelveli Rural,2004,21,2,13,460,28
Tamil Nadu,Thirunelveli Urban,2004,6,1,7,161,12
Tamil Nadu,Thiruvallur,2004,14,2,5,195,20
Tamil Nadu,Thiruvannamalai,2004,25,2,9,394,73
Tamil Nadu,Thiruvarur,2004,10,0,2,215,44
Tamil Nadu,Thoothugudi,2004,31,3,15,516,60
Tamil Nadu,Trichy Rly.,2004,0,1,3,66,0
Tamil Nadu,Trichy Rural,2004,30,3,5,157,53
Tamil Nadu,Trichy Urban,2004,6,3,1,374,61
Tamil Nadu,Vellore,2004,30,0,6,575,117
Tamil Nadu,Villupuram,2004,56,5,21,390,109
Tamil Nadu,Virudhunagar,2004,27,1,13,486,54
Tamil Nadu,Total,2004,870,72,464,17530,3996
Tripura,Dhalai,2004,16,3,7,30,0
Tripura,North,2004,30,6,14,56,3
Tripura,South,2004,28,6,12,63,9
Tripura,West,2004,25,12,13,111,37
Tripura,Total,2004,99,27,46,260,49
Uttar Pradesh,Agra,2004,156,10,61,1053,570
Uttar Pradesh,Aligarh,2004,128,18,111,804,345
Uttar Pradesh,Allahabad,2004,79,6,55,579,260
Uttar Pradesh,Ambedkar Nagar,2004,28,0,28,108,22
Uttar Pradesh,Auraiya,2004,45,2,10,56,15
Uttar Pradesh,Azamgarh,2004,47,8,90,141,44
Uttar Pradesh,Badaun,2004,96,13,60,262,30
Uttar Pradesh,Baghpat,2004,29,6,33,118,41
Uttar Pradesh,Bahraich,2004,30,4,12,126,25
Uttar Pradesh,Ballia,2004,19,3,12,135,40
Uttar Pradesh,Balrampur,2004,7,0,2,28,11
Uttar Pradesh,Banda,2004,19,2,16,96,20
Uttar Pradesh,Barabanki,2004,41,3,19,211,55
Uttar Pradesh,Bareilly,2004,117,27,97,609,188
Uttar Pradesh,Basti,2004,21,0,12,136,40
Uttar Pradesh,Bijnor,2004,34,3,26,211,53
Uttar Pradesh,Bulandshahar,2004,90,3,78,411,108
Uttar Pradesh,Chandoli,2004,7,2,14,54,14
Uttar Pradesh,Chitrakoot Dham,2004,9,1,1,25,11
Uttar Pradesh,Deoria,2004,29,2,16,86,20
Uttar Pradesh,Etah,2004,63,10,40,224,106
Uttar Pradesh,Etawah,2004,63,1,27,114,52
Uttar Pradesh,Faizabad,2004,19,0,15,131,37
Uttar Pradesh,Fatehgarh,2004,40,3,34,80,36
Uttar Pradesh,Fatehpur,2004,20,0,14,89,21
Uttar Pradesh,Firozabad,2004,89,11,70,411,177
Uttar Pradesh,G.R.P.,2004,5,14,40,1966,90
Uttar Pradesh,Gautambudh Nagar,2004,32,10,39,826,442
Uttar Pradesh,Ghaziabad,2004,118,3,65,1523,893
Uttar Pradesh,Ghazipur,2004,9,4,25,101,28
Uttar Pradesh,Gonda,2004,23,2,11,120,37
Uttar Pradesh,Gorakhpur,2004,51,8,47,357,181
Uttar Pradesh,Hamirpur,2004,13,1,12,55,9
Uttar Pradesh,Hardoi,2004,58,1,35,229,25
Uttar Pradesh,Hathras,2004,40,17,56,228,56
Uttar Pradesh,J.P.Nagar,2004,24,8,44,111,29
Uttar Pradesh,Jalaun,2004,49,4,21,125,44
Uttar Pradesh,Jaunpur,2004,22,2,40,160,66
Uttar Pradesh,Jhansi,2004,39,4,19,158,67
Uttar Pradesh,Kannauj,2004,17,1,19,69,18
Uttar Pradesh,Kanpur Dehat,2004,49,4,12,141,17
Uttar Pradesh,Kanpur Nagar,2004,109,5,62,938,634
Uttar Pradesh,Kaushambi,2004,12,3,17,74,14
Uttar Pradesh,Khiri,2004,76,3,34,350,80
Uttar Pradesh,Kushi Nagar,2004,28,1,23,107,19
Uttar Pradesh,Lalitpur,2004,4,0,2,54,19
Uttar Pradesh,Lucknow,2004,164,12,109,2279,1042
Uttar Pradesh,Maharajganj,2004,11,1,7,39,13
Uttar Pradesh,Mahoba,2004,9,0,4,29,5
Uttar Pradesh,Mainpuri,2004,49,8,47,176,66
Uttar Pradesh,Mathura,2004,34,7,51,388,188
Uttar Pradesh,Mau,2004,19,1,27,92,24
Uttar Pradesh,Meerut,2004,137,21,146,1192,598
Uttar Pradesh,Mirzapur,2004,13,4,24,80,27
Uttar Pradesh,Moradabad,2004,98,18,89,527,194
Uttar Pradesh,Muzaffarnagar,2004,90,8,93,563,207
Uttar Pradesh,Pilibhit,2004,54,11,27,165,32
Uttar Pradesh,Pratapgarh,2004,31,1,18,177,36
Uttar Pradesh,Raibareilly,2004,52,4,26,220,38
Uttar Pradesh,Rampur,2004,39,2,23,225,49
Uttar Pradesh,Saharanpur,2004,52,4,47,477,171
Uttar Pradesh,Sant Kabirnagar,2004,10,1,6,50,13
Uttar Pradesh,Shahjahanpur,2004,89,10,48,216,49
Uttar Pradesh,Shrawasti,2004,9,0,6,32,5
Uttar Pradesh,Sidharthnagar,2004,17,9,8,91,26
Uttar Pradesh,Sitapur,2004,104,2,73,460,53
Uttar Pradesh,Sonbhadra,2004,15,6,6,52,18
Uttar Pradesh,St.Ravidasnagar,2004,5,9,21,63,18
Uttar Pradesh,Sultanpur,2004,36,1,32,220,69
Uttar Pradesh,Unnao,2004,62,3,36,151,30
Uttar Pradesh,Varanasi,2004,35,2,56,570,372
Uttar Pradesh,Total,2004,3337,378,2606,22524,8452
Uttarakhand,Almora,2004,5,0,6,27,0
Uttarakhand,Bageshwar,2004,4,0,4,6,0
Uttarakhand,Chamoli,2004,7,0,1,13,1
Uttarakhand,Champawat,2004,2,1,1,8,0
Uttarakhand,Dehradun,2004,37,2,24,426,204
Uttarakhand,Haridwar,2004,54,13,41,401,136
Uttarakhand,Nainital,2004,28,4,23,219,42
Uttarakhand,Pauri Garhwal,2004,10,2,7,47,6
Uttarakhand,Pithoragarh,2004,3,2,7,21,3
Uttarakhand,Rudra Prayag,2004,3,0,4,6,2
Uttarakhand,Tehri Garhwal,2004,14,0,0,33,5
Uttarakhand,Udhamsingh Nagar,2004,41,13,47,359,99
Uttarakhand,Uttarkashi,2004,5,0,0,31,2
Uttarakhand,Total,2004,213,37,165,1597,500
West Bengal,24 Parganas North,2004,180,32,72,2196,701
West Bengal,24 Parganas South,2004,103,13,33,1597,288
West Bengal,Asansol,2004,10,3,7,112,34
West Bengal,Bankura,2004,24,10,21,374,7
West Bengal,Birbhum,2004,31,6,16,221,61
West Bengal,Burdwan,2004,56,10,22,382,60
West Bengal,Coochbehar,2004,41,0,3,151,38
West Bengal,Dakshin Dinajpur,2004,27,1,3,85,14
West Bengal,Darjeeling,2004,17,7,5,393,97
West Bengal,Hooghly,2004,38,12,39,645,80
West Bengal,Howrah,2004,19,12,13,206,34
West Bengal,Howrah City,2004,17,10,22,402,142
West Bengal,Howrah G.R.P.,2004,8,1,5,275,0
West Bengal,Jalpaiguri,2004,59,6,14,661,72
West Bengal,Kharagpur G.R.P.,2004,2,6,5,115,0
West Bengal,Kolkata,2004,119,19,117,3695,763
West Bengal,Malda,2004,65,8,17,363,74
West Bengal,Murshidabad,2004,126,8,23,429,82
West Bengal,Nadia,2004,80,7,14,757,23
West Bengal,Paschim Midnapur,2004,65,26,30,437,33
West Bengal,Purab Midnapur,2004,54,4,15,217,24
West Bengal,Purulia,2004,11,3,14,145,3
West Bengal,Sealdah G.R.P.,2004,6,1,14,279,0
West Bengal,Siliguri G.R.P.,2004,2,1,3,81,0
West Bengal,Uttar Dinajpur,2004,40,6,8,247,38
West Bengal,Total,2004,1200,212,535,14465,2668
Andaman & Nicobar Islands,Andaman,2004,3,0,3,100,9
Andaman & Nicobar Islands,Nicobar,2004,0,0,0,3,0
